ds,holiday,country,year
2012-12-25,Christmas Day,Canada,2012
2012-12-26,Boxing Day,Canada,2012
2013-01-01,New Year's Day,Canada,2013
2013-02-18,Family Day,Canada,2013
2013-03-29,Good Friday,Canada,2013
2013-05-20,Victoria Day,Canada,2013
2013-07-01,Canada Day,Canada,2013
2013-08-05,Civic Holiday,Canada,2013
2013-09-02,Labour Day,Canada,2013
2013-10-14,Thanksgiving,Canada,2013
2013-12-25,Christmas Day,Canada,2013
2013-12-26,Boxing Day,Canada,2013
2014-01-01,New Year's Day,Canada,2014
2014-02-17,Family Day,Canada,2014
2014-04-18,Good Friday,Canada,2014
2014-05-19,Victoria Day,Canada,2014
2014-07-01,Canada Day,Canada,2014
2014-08-04,Civic Holiday,Canada,2014
2014-09-01,Labour Day,Canada,2014
2014-10-13,Thanksgiving,Canada,2014
2014-12-25,Christmas Day,Canada,2014
2014-12-26,Boxing Day,Canada,2014
2015-01-01,New Year's Day,Canada,2015
2015-02-16,Family Day,Canada,2015
2015-04-03,Good Friday,Canada,2015
2015-05-18,Victoria Day,Canada,2015
2015-07-01,Canada Day,Canada,2015
2015-08-03,Civic Holiday,Canada,2015
2015-09-07,Labour Day,Canada,2015
2015-10-12,Thanksgiving,Canada,2015
2015-12-25,Christmas Day,Canada,2015
2015-12-28,Boxing Day (Observed),Canada,2015
2016-01-01,New Year's Day,Canada,2016
2016-02-15,Family Day,Canada,2016
2016-03-25,Good Friday,Canada,2016
2016-05-23,Victoria Day,Canada,2016
2016-07-01,Canada Day,Canada,2016
2016-08-01,Civic Holiday,Canada,2016
2016-09-05,Labour Day,Canada,2016
2016-10-10,Thanksgiving,Canada,2016
2016-12-25,Christmas Day,Canada,2016
2016-12-26,Christmas Day (Observed),Canada,2016
2016-12-27,Boxing Day (Observed),Canada,2016
2017-01-01,New Year's Day,Canada,2017
2017-01-02,New Year's Day (Observed),Canada,2017
2017-02-20,Family Day,Canada,2017
2017-04-14,Good Friday,Canada,2017
2017-05-22,Victoria Day,Canada,2017
2017-07-01,Canada Day,Canada,2017
2017-07-03,Canada Day (Observed),Canada,2017
2017-08-07,Civic Holiday,Canada,2017
2017-09-04,Labour Day,Canada,2017
2017-10-09,Thanksgiving,Canada,2017
2017-12-25,Christmas Day,Canada,2017
2017-12-26,Boxing Day,Canada,2017
2018-01-01,New Year's Day,Canada,2018
2018-02-19,Family Day,Canada,2018
2018-03-30,Good Friday,Canada,2018
2018-05-21,Victoria Day,Canada,2018
2018-07-01,Canada Day,Canada,2018
2018-07-02,Canada Day (Observed),Canada,2018
2018-08-06,Civic Holiday,Canada,2018
2018-09-03,Labour Day,Canada,2018
2018-10-08,Thanksgiving,Canada,2018
2018-12-25,Christmas Day,Canada,2018
2018-12-26,Boxing Day,Canada,2018
2019-01-01,New Year's Day,Canada,2019
2019-02-18,Family Day,Canada,2019
2019-04-19,Good Friday,Canada,2019
2019-05-20,Victoria Day,Canada,2019
2019-07-01,Canada Day,Canada,2019
2019-08-05,Civic Holiday,Canada,2019
2019-09-02,Labour Day,Canada,2019
2019-10-14,Thanksgiving,Canada,2019
2019-12-25,Christmas Day,Canada,2019
2019-12-26,Boxing Day,Canada,2019
2020-01-01,New Year's Day,Canada,2020
2020-02-17,Family Day,Canada,2020
2020-04-10,Good Friday,Canada,2020
2020-05-18,Victoria Day,Canada,2020
2020-07-01,Canada Day,Canada,2020
2020-08-03,Civic Holiday,Canada,2020
2020-09-07,Labour Day,Canada,2020
2020-10-12,Thanksgiving,Canada,2020
2020-12-25,Christmas Day,Canada,2020
2020-12-28,Boxing Day (Observed),Canada,2020
2021-01-01,New Year's Day,Canada,2021
2021-02-15,Family Day,Canada,2021
2021-04-02,Good Friday,Canada,2021
2021-05-24,Victoria Day,Canada,2021
2021-07-01,Canada Day,Canada,2021
2021-08-02,Civic Holiday,Canada,2021
2021-09-06,Labour Day,Canada,2021
2021-10-11,Thanksgiving,Canada,2021
2021-12-24,Christmas Day (Observed),Canada,2021
2021-12-25,Christmas Day,Canada,2021
2021-12-27,Boxing Day (Observed),Canada,2021
2021-12-31,New Year's Day (Observed),Canada,2021
2022-01-01,New Year's Day,Canada,2022
2022-02-21,Family Day,Canada,2022
